,hedger,weight,asset
2,ZEC,0.08,MATIC
3,FTM,0.14,MATIC
4,ADA,0.13,MATIC
5,LINK,0.13,MATIC
6,CHZ,0.04,MATIC
7,ONE,0.06,MATIC
8,ALGO,0.11,MATIC
0,VET,0.06,DOT
1,EOS,0.14,DOT
2,DASH,0.04,DOT
3,ZEC,0.08,DOT
4,FTM,0.04,DOT
5,ADA,0.17,DOT
6,ATOM,0.1,DOT
7,LINK,0.04,DOT
8,CHZ,0.05,DOT
9,ETC,0.06,DOT
10,ONE,0.04,DOT
11,ALGO,0.14,DOT
12,BTC,0.02,DOT
13,LTC,0.04,DOT
0,BTC,1.0,WBTC
0,DAI,1.0,DAI
0,DASH,0.27,LTC
1,ETH,0.09,LTC
2,BNB,0.09,LTC
3,ZEC,0.07,LTC
4,DOGE,0.05,LTC
5,ETC,0.04,LTC
6,BCH,0.16,LTC
7,BTC,0.23,LTC
0,EOS,0.1,SHIB
1,DASH,0.09,SHIB
2,BNB,0.08,SHIB
3,FTM,0.07,SHIB
4,DOGE,0.44,SHIB
5,ADA,0.06,SHIB
6,BTC,0.12,SHIB
7,LTC,0.02,SHIB
0,VET,0.06,BCH
1,EOS,0.12,BCH
2,DASH,0.15,BCH
3,BNB,0.05,BCH
4,DOGE,0.04,BCH
5,ETC,0.08,BCH
6,BTC,0.27,BCH
7,LTC,0.23,BCH
0,DASH,0.17,UNI
1,ETH,0.18,UNI
2,MATIC,0.04,UNI
3,ZEC,0.17,UNI
4,DOGE,0.06,UNI
5,ADA,0.07,UNI
6,LINK,0.09,UNI
7,ONE,0.05,UNI
8,ALGO,0.17,UNI
0,VET,0.04,ATOM
1,ETH,0.07,ATOM
2,ZEC,0.2,ATOM
3,FTM,0.08,ATOM
4,DOGE,0.05,ATOM
5,ADA,0.06,ATOM
6,LINK,0.05,ATOM
7,ETC,0.06,ATOM
8,XTZ,0.21,ATOM
9,THETA,0.06,ATOM
10,ONE,0.06,ATOM
11,ALGO,0.07,ATOM
0,XRP,0.53,XLM
1,EOS,0.05,XLM
2,DASH,0.09,XLM
3,ETH,0.04,XLM
4,ZEC,0.09,XLM
5,DOGE,0.05,XLM
6,ETC,0.04,XLM
7,BTC,0.06,XLM
8,LTC,0.05,XLM
0,ETH,0.13,XMR
1,BNB,0.13,XMR
2,ZEC,0.2,XMR
3,BTC,0.42,XMR
4,LTC,0.12,XMR
0,XRP,0.0,TUSD
1,ETH,0.27,TUSD
2,BNB,0.07,TUSD
3,TRX,0.64,TUSD
4,LTC,0.02,TUSD
0,VET,0.03,ETC
1,DASH,0.23,ETC
2,ETH,0.43,ETC
3,ZEC,0.1,ETC
4,QTUM,0.04,ETC
5,ADA,0.03,ETC
6,ATOM,0.05,ETC
7,RVN,0.04,ETC
8,BCH,0.06,ETC
0,VET,0.05,ICP
1,EOS,0.17,ICP
2,DASH,0.16,ICP
3,ZEC,0.11,ICP
4,FTM,0.1,ICP
5,ADA,0.04,ICP
6,CHZ,0.05,ICP
7,THETA,0.05,ICP
8,ONE,0.13,ICP
9,ALGO,0.06,ICP
10,BTC,0.07,ICP
11,LTC,0.0,ICP
0,VET,0.11,RUNE
1,ETH,0.13,RUNE
2,FTM,0.11,RUNE
3,ATOM,0.1,RUNE
4,LINK,0.11,RUNE
5,THETA,0.16,RUNE
6,ONE,0.2,RUNE
7,BTC,0.08,RUNE
0,VET,0.11,FIL
1,EOS,0.11,FIL
2,DASH,0.08,FIL
3,BNB,0.07,FIL
4,ZIL,0.08,FIL
5,MATIC,0.06,FIL
6,ZEC,0.09,FIL
7,FTM,0.03,FIL
8,ADA,0.05,FIL
9,ATOM,0.06,FIL
10,LINK,0.04,FIL
11,CHZ,0.01,FIL
12,THETA,0.05,FIL
13,ONE,0.09,FIL
14,ALGO,0.07,FIL
0,ETH,0.17,LDO
1,BNB,0.0,LDO
2,FET,0.07,LDO
3,MATIC,0.16,LDO
4,ZEC,0.06,LDO
5,ETC,0.36,LDO
6,ONE,0.18,LDO
0,VET,0.04,HBAR
1,EOS,0.08,HBAR
2,DASH,0.06,HBAR
3,ETH,0.16,HBAR
4,HOT,0.03,HBAR
5,ZIL,0.14,HBAR
6,MATIC,0.05,HBAR
7,ZEC,0.07,HBAR
8,ADA,0.08,HBAR
9,ATOM,0.05,HBAR
10,CHZ,0.05,HBAR
11,THETA,0.06,HBAR
12,ONE,0.03,HBAR
13,ALGO,0.08,HBAR
14,BTC,0.02,HBAR
0,DASH,0.16,APT
1,ZEC,0.11,APT
2,FTM,0.14,APT
3,ADA,0.11,APT
4,ATOM,0.06,APT
5,LINK,0.11,APT
6,ONE,0.14,APT
7,ALGO,0.07,APT
8,LTC,0.1,APT
0,DASH,0.09,NEAR
1,ZEC,0.09,NEAR
2,FTM,0.21,NEAR
3,ATOM,0.14,NEAR
4,LINK,0.05,NEAR
5,ETC,0.07,NEAR
6,THETA,0.08,NEAR
7,ONE,0.15,NEAR
8,ALGO,0.11,NEAR
0,EOS,0.05,IMX
1,FET,0.07,IMX
2,ZEC,0.06,IMX
3,FTM,0.07,IMX
4,ADA,0.07,IMX
5,RVN,0.02,IMX
6,LINK,0.09,IMX
7,CHZ,0.14,IMX
8,ETC,0.19,IMX
9,THETA,0.09,IMX
10,ONE,0.09,IMX
11,ALGO,0.06,IMX
0,ETH,0.07,BUSD
1,TRX,0.53,BUSD
2,BTC,0.4,BUSD
0,ETH,0.96,WBETH
1,BTC,0.04,WBETH
0,EOS,0.07,VET
1,NEO,0.05,VET
2,ETH,0.06,VET
3,ZIL,0.13,VET
4,ZEC,0.09,VET
5,QTUM,0.05,VET
6,ADA,0.08,VET
7,ATOM,0.03,VET
8,CHZ,0.07,VET
9,ETC,0.03,VET
10,THETA,0.04,VET
11,ONE,0.05,VET
12,ALGO,0.09,VET
13,BTC,0.11,VET
14,LTC,0.05,VET
0,DASH,0.08,INJ
1,HOT,0.08,INJ
2,FET,0.11,INJ
3,MATIC,0.08,INJ
4,FTM,0.26,INJ
5,ATOM,0.02,INJ
6,LINK,0.07,INJ
7,CHZ,0.11,INJ
8,ONE,0.19,INJ
0,VET,0.04,OP
1,DASH,0.14,OP
2,ETH,0.22,OP
3,MATIC,0.12,OP
4,ZEC,0.09,OP
5,ETC,0.19,OP
6,ONE,0.15,OP
7,ALGO,0.06,OP
0,VET,0.07,AAVE
1,DASH,0.05,AAVE
2,ETH,0.03,AAVE
3,BNB,0.03,AAVE
4,MATIC,0.06,AAVE
5,ZEC,0.12,AAVE
6,RVN,0.06,AAVE
7,LINK,0.16,AAVE
8,CHZ,0.08,AAVE
9,ETC,0.07,AAVE
10,ONE,0.13,AAVE
11,ALGO,0.06,AAVE
12,BTC,0.08,AAVE
0,EOS,0.05,MKR
1,DASH,0.12,MKR
2,ETH,0.29,MKR
3,BNB,0.06,MKR
4,ZEC,0.2,MKR
5,RVN,0.04,MKR
6,ETC,0.08,MKR
7,BTC,0.16,MKR
0,VET,0.11,GRT
1,DASH,0.08,GRT
2,BNB,0.06,GRT
3,FET,0.14,GRT
4,MATIC,0.04,GRT
5,FTM,0.04,GRT
6,ATOM,0.12,GRT
7,RVN,0.08,GRT
8,ETC,0.03,GRT
9,ONE,0.11,GRT
10,ALGO,0.17,GRT
0,ETH,0.0,FTT
1,FET,0.13,FTT
2,WAVES,0.07,FTT
3,ZRX,0.02,FTT
4,DOGE,0.19,FTT
5,TRX,0.2,FTT
6,ATOM,0.11,FTT
7,ETC,0.2,FTT
8,IOTX,0.08,FTT
0,EOS,0.09,RNDR
1,FET,0.16,RNDR
2,ZIL,0.14,RNDR
3,MATIC,0.05,RNDR
4,ZEC,0.13,RNDR
5,FTM,0.1,RNDR
6,CHZ,0.1,RNDR
7,ONE,0.1,RNDR
8,ALGO,0.13,RNDR
0,ETH,0.2,ARB
1,BNB,0.0,ARB
2,FET,0.05,ARB
3,ZIL,0.12,ARB
4,MATIC,0.11,ARB
5,FTM,0.04,ARB
6,ADA,0.05,ARB
7,LINK,0.04,ARB
8,STX,0.07,ARB
9,ETC,0.14,ARB
10,ONE,0.1,ARB
11,ALGO,0.09,ARB
0,VET,0.06,QNT
1,DASH,0.09,QNT
2,ETH,0.15,QNT
3,BNB,0.08,QNT
4,MATIC,0.06,QNT
5,ZEC,0.16,QNT
6,ATOM,0.07,QNT
7,RVN,0.04,QNT
8,CHZ,0.03,QNT
9,THETA,0.05,QNT
10,BTC,0.16,QNT
11,LTC,0.06,QNT
0,EOS,0.03,EGLD
1,DASH,0.32,EGLD
2,BNB,0.02,EGLD
3,HOT,0.06,EGLD
4,MATIC,0.03,EGLD
5,ATOM,0.05,EGLD
6,CHZ,0.18,EGLD
7,THETA,0.11,EGLD
8,ALGO,0.19,EGLD
0,VET,0.09,ALGO
1,ENJ,0.05,ALGO
2,ZIL,0.19,ALGO
3,MATIC,0.07,ALGO
4,ZEC,0.08,ALGO
5,FTM,0.09,ALGO
6,ADA,0.06,ALGO
7,RVN,0.07,ALGO
8,CHZ,0.12,ALGO
9,THETA,0.05,ALGO
10,ONE,0.12,ALGO
0,VET,0.09,STX
1,EOS,0.18,STX
2,NEO,0.0,STX
3,ZEC,0.04,STX
4,FTM,0.08,STX
5,QTUM,0.08,STX
6,ATOM,0.04,STX
7,RVN,0.05,STX
8,LINK,0.11,STX
9,ONE,0.12,STX
10,ALGO,0.07,STX
11,BTC,0.15,STX
0,TFUEL,0.15,THETA
1,VET,0.08,THETA
2,EOS,0.08,THETA
3,ZIL,0.12,THETA
4,ZEC,0.01,THETA
5,DOGE,0.04,THETA
6,ADA,0.1,THETA
7,ATOM,0.06,THETA
8,LINK,0.04,THETA
9,CHZ,0.08,THETA
10,ETC,0.09,THETA
11,ONE,0.08,THETA
12,ALGO,0.08,THETA
0,DASH,0.15,SNX
1,ENJ,0.09,SNX
2,FET,0.08,SNX
3,FTM,0.06,SNX
4,ADA,0.16,SNX
5,ATOM,0.08,SNX
6,RVN,0.08,SNX
7,LINK,0.08,SNX
8,ONE,0.07,SNX
9,ALGO,0.15,SNX
0,EOS,0.16,FLOW
1,DASH,0.1,FLOW
2,ENJ,0.05,FLOW
3,ZIL,0.12,FLOW
4,ZEC,0.15,FLOW
5,ATOM,0.04,FLOW
6,CHZ,0.05,FLOW
7,ONE,0.07,FLOW
8,ALGO,0.15,FLOW
9,BAT,0.1,FLOW
0,ETH,0.13,FDUSD
1,XMR,0.34,FDUSD
2,BTC,0.53,FDUSD
0,EOS,0.11,FTM
1,MATIC,0.21,FTM
2,ZEC,0.05,FTM
3,DOGE,0.04,FTM
4,ATOM,0.1,FTM
5,RVN,0.05,FTM
6,LINK,0.04,FTM
7,ONE,0.22,FTM
8,ALGO,0.19,FTM
0,EOS,0.06,SAND
1,DASH,0.06,SAND
2,ENJ,0.15,SAND
3,ZIL,0.1,SAND
4,ZEC,0.07,SAND
5,FTM,0.06,SAND
6,ADA,0.06,SAND
7,ATOM,0.05,SAND
8,RVN,0.06,SAND
9,LINK,0.03,SAND
10,CHZ,0.05,SAND
11,ETC,0.02,SAND
12,ONE,0.08,SAND
13,ALGO,0.14,SAND
0,EOS,0.3,AXS
1,DASH,0.16,AXS
2,ENJ,0.16,AXS
3,RVN,0.21,AXS
4,ALGO,0.17,AXS
0,EOS,0.14,MANA
1,DASH,0.15,MANA
2,ENJ,0.21,MANA
3,ZIL,0.12,MANA
4,FTM,0.09,MANA
5,ATOM,0.06,MANA
6,CHZ,0.05,MANA
7,ONE,0.08,MANA
8,ALGO,0.11,MANA
0,VET,0.07,XTZ
1,EOS,0.05,XTZ
2,DASH,0.17,XTZ
3,ETH,0.05,XTZ
4,ENJ,0.02,XTZ
5,ZIL,0.11,XTZ
6,ZEC,0.06,XTZ
7,ATOM,0.09,XTZ
8,CHZ,0.05,XTZ
9,THETA,0.06,XTZ
10,ALGO,0.08,XTZ
11,BAT,0.13,XTZ
12,BTC,0.07,XTZ
0,EOS,0.03,NEO
1,MATIC,0.0,NEO
2,ZEC,0.01,NEO
3,QTUM,0.65,NEO
4,FTM,0.09,NEO
5,ONE,0.01,NEO
6,ONT,0.2,NEO
0,VET,0.06,KAVA
1,EOS,0.17,KAVA
2,DASH,0.12,KAVA
3,ETH,0.06,KAVA
4,BNB,0.04,KAVA
5,WAVES,0.03,KAVA
6,ZEC,0.12,KAVA
7,CHZ,0.09,KAVA
8,XTZ,0.18,KAVA
9,ONE,0.08,KAVA
10,BTC,0.05,KAVA
0,VET,0.06,EOS
1,DASH,0.11,EOS
2,BNB,0.01,EOS
3,ZIL,0.17,EOS
4,MATIC,0.06,EOS
5,ZEC,0.11,EOS
6,FTM,0.04,EOS
7,DOGE,0.11,EOS
8,QTUM,0.05,EOS
9,ADA,0.06,EOS
10,RVN,0.04,EOS
11,ETC,0.0,EOS
12,ONE,0.05,EOS
13,BTC,0.1,EOS
14,LTC,0.04,EOS
0,VET,0.0,MINA
1,DASH,0.1,MINA
2,HOT,0.52,MINA
3,MATIC,0.02,MINA
4,ZEC,0.08,MINA
5,FTM,0.0,MINA
6,ONE,0.21,MINA
7,ALGO,0.07,MINA
0,BAT,0.8,IOTA
1,IOST,0.2,IOTA
0,EOS,0.1,LUNC
1,DASH,0.21,LUNC
2,ETH,0.03,LUNC
3,MATIC,0.05,LUNC
4,FTM,0.1,LUNC
5,DOGE,0.12,LUNC
6,ATOM,0.09,LUNC
7,THETA,0.1,LUNC
8,LTC,0.21,LUNC
0,VET,0.13,GALA
1,ENJ,0.26,GALA
2,ZIL,0.05,GALA
3,FTM,0.13,GALA
4,ADA,0.08,GALA
5,ATOM,0.03,GALA
6,RVN,0.06,GALA
7,LINK,0.05,GALA
8,ONE,0.2,GALA
0,VET,0.05,SUI
1,DASH,0.06,SUI
2,FET,0.07,SUI
3,ZIL,0.06,SUI
4,MATIC,0.09,SUI
5,ZEC,0.2,SUI
6,FTM,0.16,SUI
7,ATOM,0.05,SUI
8,RVN,0.13,SUI
9,CHZ,0.06,SUI
10,ONE,0.06,SUI
0,VET,0.08,KLAY
1,DASH,0.14,KLAY
2,ETH,0.09,KLAY
3,ENJ,0.04,KLAY
4,MATIC,0.02,KLAY
5,ZEC,0.14,KLAY
6,ATOM,0.04,KLAY
7,RVN,0.05,KLAY
8,CHZ,0.04,KLAY
9,ONE,0.06,KLAY
10,ALGO,0.15,KLAY
11,BTC,0.05,KLAY
12,LTC,0.1,KLAY
0,EOS,0.03,APE
1,DASH,0.13,APE
2,ENJ,0.1,APE
3,MATIC,0.07,APE
4,ZEC,0.12,APE
5,FTM,0.09,APE
6,ATOM,0.04,APE
7,RVN,0.09,APE
8,LINK,0.04,APE
9,THETA,0.03,APE
10,ONE,0.13,APE
11,ALGO,0.11,APE
0,VET,0.04,FXS
1,EOS,0.18,FXS
2,DASH,0.14,FXS
3,ENJ,0.09,FXS
4,FET,0.04,FXS
5,ZIL,0.05,FXS
6,MATIC,0.05,FXS
7,ZEC,0.05,FXS
8,ETC,0.27,FXS
9,ONE,0.09,FXS
0,VET,0.13,ROSE
1,ZIL,0.14,ROSE
2,MATIC,0.07,ROSE
3,FTM,0.11,ROSE
4,ADA,0.07,ROSE
5,RVN,0.12,ROSE
6,THETA,0.05,ROSE
7,ONE,0.2,ROSE
8,ALGO,0.12,ROSE
0,VET,0.02,XEC
1,EOS,0.04,XEC
2,DASH,0.02,XEC
3,ZEC,0.01,XEC
4,QTUM,0.06,XEC
5,FTM,0.06,XEC
6,BCH,0.34,XEC
7,ETC,0.07,XEC
8,CHZ,0.04,XEC
9,ONE,0.04,XEC
10,ALGO,0.07,XEC
11,BAT,0.08,XEC
12,BTC,0.14,XEC
0,VET,0.1,CHZ
1,EOS,0.06,CHZ
2,DASH,0.05,CHZ
3,BNB,0.08,CHZ
4,ZIL,0.11,CHZ
5,MATIC,0.04,CHZ
6,ZEC,0.09,CHZ
7,DOGE,0.04,CHZ
8,ADA,0.05,CHZ
9,RVN,0.04,CHZ
10,THETA,0.08,CHZ
11,ONE,0.07,CHZ
12,ALGO,0.17,CHZ
13,BTC,0.03,CHZ
0,VET,0.06,AR
1,DASH,0.1,AR
2,ZIL,0.14,AR
3,FTM,0.09,AR
4,ADA,0.13,AR
5,RVN,0.07,AR
6,LINK,0.05,AR
7,THETA,0.1,AR
8,ONE,0.14,AR
9,ALGO,0.12,AR
0,BNB,0.5,CAKE
1,ENJ,0.02,CAKE
2,FTM,0.07,CAKE
3,CHZ,0.09,CAKE
4,THETA,0.06,CAKE
5,ONE,0.06,CAKE
6,ALGO,0.2,CAKE
0,ETH,0.65,RPL
1,MATIC,0.09,RPL
2,ZEC,0.03,RPL
3,ADA,0.04,RPL
4,ETC,0.11,RPL
5,THETA,0.03,RPL
6,BAT,0.05,RPL
0,EOS,0.11,SEI
1,DASH,0.13,SEI
2,HBAR,0.12,SEI
3,ZEC,0.1,SEI
4,RVN,0.11,SEI
5,STX,0.09,SEI
6,CHZ,0.08,SEI
7,ONE,0.14,SEI
8,ALGO,0.12,SEI
0,DASH,0.2,CRV
1,ETH,0.0,CRV
2,ZIL,0.16,CRV
3,MATIC,0.05,CRV
4,ZEC,0.14,CRV
5,FTM,0.06,CRV
6,CHZ,0.03,CRV
7,ETC,0.13,CRV
8,THETA,0.06,CRV
9,ONE,0.11,CRV
10,ALGO,0.05,CRV
0,EOS,0.1,CFX
1,DASH,0.31,CFX
2,NEO,0.04,CFX
3,ZEC,0.02,CFX
4,FTM,0.08,CFX
5,STX,0.12,CFX
6,ONE,0.2,CFX
7,ALGO,0.13,CFX
0,NEO,0.67,GAS
1,ONG,0.33,GAS
0,VET,0.07,GNO
1,ETH,0.73,GNO
2,MATIC,0.05,GNO
3,BTC,0.05,GNO
4,LTC,0.11,GNO
0,VET,0.09,ZEC
1,EOS,0.12,ZEC
2,DASH,0.32,ZEC
3,ETH,0.06,ZEC
4,ZIL,0.08,ZEC
5,ATOM,0.08,ZEC
6,CHZ,0.06,ZEC
7,ETC,0.06,ZEC
8,ALGO,0.06,ZEC
9,LTC,0.08,ZEC
0,EOS,0.31,USTC
1,DASH,0.2,USTC
2,FET,0.01,USTC
3,DOGE,0.2,USTC
4,ATOM,0.08,USTC
5,XTZ,0.18,USTC
6,ONE,0.03,USTC
0,DASH,0.12,GMX
1,ETH,0.49,GMX
2,HOT,0.05,GMX
3,MATIC,0.04,GMX
4,FTM,0.11,GMX
5,LINK,0.04,GMX
6,ETC,0.05,GMX
7,ONE,0.1,GMX
0,ETH,0.17,PAXG
1,XMR,0.36,PAXG
2,BTC,0.47,PAXG
0,VET,0.03,TWT
1,BNB,0.4,TWT
2,ENJ,0.1,TWT
3,HOT,0.17,TWT
4,FTM,0.05,TWT
5,DOGE,0.05,TWT
6,ATOM,0.05,TWT
7,LINK,0.07,TWT
8,ONE,0.0,TWT
9,ALGO,0.07,TWT
0,VET,0.02,PEPE
1,DASH,0.02,PEPE
2,FET,0.04,PEPE
3,MATIC,0.0,PEPE
4,FTM,0.12,PEPE
5,ADA,0.05,PEPE
6,RVN,0.01,PEPE
7,STX,0.2,PEPE
8,CHZ,0.15,PEPE
9,ETC,0.0,PEPE
10,ONE,0.23,PEPE
11,ALGO,0.16,PEPE
0,TRX,0.79,BTT
1,BCH,0.1,BTT
2,XLM,0.07,BTT
3,STPT,0.04,BTT
0,ETH,0.07,USDP
1,TRX,0.53,USDP
2,BTC,0.4,USDP
0,DASH,0.25,LUNA
1,ENJ,0.09,LUNA
2,HOT,0.09,LUNA
3,ZIL,0.0,LUNA
4,MATIC,0.0,LUNA
5,FTM,0.13,LUNA
6,ATOM,0.0,LUNA
7,CHZ,0.19,LUNA
8,ALGO,0.25,LUNA
0,XMR,0.66,HNT
1,BCH,0.13,HNT
2,XLM,0.17,HNT
3,STPT,0.04,HNT
0,FTM,0.19,FET
1,ATOM,0.01,FET
2,RVN,0.12,FET
3,LINK,0.1,FET
4,THETA,0.17,FET
5,ONE,0.32,FET
6,ALGO,0.1,FET
0,ETH,0.64,NEXO
1,BTC,0.31,NEXO
2,LTC,0.05,NEXO
0,DASH,0.26,COMP
1,WAVES,0.03,COMP
2,MATIC,0.01,COMP
3,ZEC,0.05,COMP
4,FTM,0.08,COMP
5,RVN,0.07,COMP
6,ETC,0.13,COMP
7,CHZ,0.09,COMP
8,ONE,0.19,COMP
9,ALGO,0.09,COMP
0,VET,0.17,ILV
1,ETH,0.07,ILV
2,BNB,0.12,ILV
3,ENJ,0.08,ILV
4,MATIC,0.06,ILV
5,ADA,0.1,ILV
6,LINK,0.04,ILV
7,THETA,0.12,ILV
8,ONE,0.06,ILV
9,ALGO,0.17,ILV
0,HIVE,0.1,BEAM
1,ETH,0.64,BEAM
2,BNB,0.15,BEAM
3,XLM,0.11,BEAM
0,DASH,0.24,WOO
1,FET,0.12,WOO
2,ZIL,0.16,WOO
3,MATIC,0.11,WOO
4,ZEC,0.07,WOO
5,FTM,0.12,WOO
6,ATOM,0.04,WOO
7,RVN,0.05,WOO
8,ONE,0.09,WOO
0,VET,0.08,ZIL
1,EOS,0.13,ZIL
2,DASH,0.07,ZIL
3,BNB,0.04,ZIL
4,ZEC,0.09,ZIL
5,ANKR,0.26,ZIL
6,ATOM,0.04,ZIL
7,CHZ,0.03,ZIL
8,THETA,0.05,ZIL
9,ALGO,0.1,ZIL
10,BAT,0.1,ZIL
0,VET,0.05,AGIX
1,FET,0.36,AGIX
2,ZIL,0.07,AGIX
3,ZEC,0.16,AGIX
4,FTM,0.05,AGIX
5,ONE,0.2,AGIX
6,ALGO,0.12,AGIX
0,ETH,0.22,ELF
1,ZIL,0.06,ELF
2,STPT,0.06,ELF
3,BTC,0.61,ELF
4,IOST,0.05,ELF
0,EOS,0.05,GMT
1,ENJ,0.16,GMT
2,ZEC,0.16,GMT
3,FTM,0.17,GMT
4,ATOM,0.02,GMT
5,CHZ,0.1,GMT
6,THETA,0.1,GMT
7,ONE,0.07,GMT
8,ALGO,0.16,GMT
0,VET,0.04,ASTR
1,HOT,0.08,ASTR
2,MATIC,0.1,ASTR
3,ZEC,0.07,ASTR
4,ATOM,0.09,ASTR
5,RVN,0.08,ASTR
6,THETA,0.17,ASTR
7,ONE,0.19,ASTR
8,ALGO,0.18,ASTR
0,ENJ,0.05,1INCH
1,ZIL,0.2,1INCH
2,MATIC,0.04,1INCH
3,ZEC,0.13,1INCH
4,ATOM,0.05,1INCH
5,RVN,0.04,1INCH
6,CHZ,0.06,1INCH
7,THETA,0.05,1INCH
8,ONE,0.14,1INCH
9,ALGO,0.12,1INCH
10,BAT,0.13,1INCH
0,EOS,0.08,DASH
1,BNB,0.03,DASH
2,ZIL,0.04,DASH
3,ZEC,0.25,DASH
4,RVN,0.06,DASH
5,CHZ,0.01,DASH
6,ETC,0.12,DASH
7,ONE,0.13,DASH
8,BAT,0.05,DASH
9,LTC,0.22,DASH
0,ETH,0.0,OSMO
1,ADA,0.22,OSMO
2,ATOM,0.47,OSMO
3,XTZ,0.31,OSMO
0,ENJ,0.04,ZRX
1,ICX,0.52,ZRX
2,BAT,0.12,ZRX
3,IOST,0.32,ZRX
0,DASH,0.17,CVX
1,ETH,0.38,CVX
2,ZIL,0.11,CVX
3,MATIC,0.04,CVX
4,ZEC,0.08,CVX
5,FTM,0.05,CVX
6,ATOM,0.05,CVX
7,THETA,0.05,CVX
8,ONE,0.08,CVX
0,VET,0.06,BAT
1,EOS,0.09,BAT
2,ETH,0.04,BAT
3,ZIL,0.13,BAT
4,IOTA,0.2,BAT
5,CHZ,0.04,BAT
6,XTZ,0.13,BAT
7,ALGO,0.1,BAT
8,ICX,0.18,BAT
9,BTC,0.05,BAT
0,ETH,0.08,SC
1,ZIL,0.18,SC
2,ANKR,0.23,SC
3,CHZ,0.05,SC
4,XTZ,0.0,SC
5,BTC,0.41,SC
6,IOST,0.04,SC
0,VET,0.05,QTUM
1,DASH,0.08,QTUM
2,NEO,0.35,QTUM
3,ZEC,0.01,QTUM
4,XTZ,0.13,QTUM
5,ONE,0.05,QTUM
6,ALGO,0.07,QTUM
7,ONT,0.19,QTUM
8,LTC,0.05,QTUM
9,IOST,0.01,QTUM
0,EOS,0.09,FLOKI
1,DASH,0.24,FLOKI
2,NEO,0.07,FLOKI
3,BNB,0.0,FLOKI
4,FET,0.08,FLOKI
5,ZIL,0.04,FLOKI
6,ZEC,0.12,FLOKI
7,DOGE,0.12,FLOKI
8,ADA,0.11,FLOKI
9,CHZ,0.05,FLOKI
10,ETC,0.0,FLOKI
11,ONE,0.07,FLOKI
0,EOS,0.09,TFUEL
1,ZIL,0.06,TFUEL
2,DOGE,0.08,TFUEL
3,CHZ,0.07,TFUEL
4,STPT,0.15,TFUEL
5,THETA,0.33,TFUEL
6,BTC,0.22,TFUEL
0,VET,0.14,LRC
1,EOS,0.15,LRC
2,DASH,0.11,LRC
3,HOT,0.08,LRC
4,ZIL,0.03,LRC
5,ZEC,0.09,LRC
6,FTM,0.07,LRC
7,RVN,0.07,LRC
8,LINK,0.04,LRC
9,ETC,0.06,LRC
10,ONE,0.11,LRC
11,ALGO,0.05,LRC
0,VET,0.06,ENJ
1,EOS,0.05,ENJ
2,DASH,0.11,ENJ
3,HOT,0.03,ENJ
4,ZIL,0.15,ENJ
5,MATIC,0.0,ENJ
6,ZEC,0.11,ENJ
7,FTM,0.06,ENJ
8,RVN,0.05,ENJ
